City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
18,Mulatupo,PA,85.3,overcast clouds,8.9492,-77.7652,Hostal Nuevo Sasardí
43,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
65,Arraial Do Cabo,BR,89.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
92,Kouroussa,GN,90.77,overcast clouds,10.65,-9.8833,Hotel Paillote
107,Castro,BR,86.18,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
117,Princeton,US,85.01,scattered clouds,25.5384,-80.4089,American Best Inn
122,Puerto Leguizamo,CO,91.54,broken clouds,-0.1934,-74.7819,la casona de juancho
126,Natal,BR,89.82,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
140,Oussouye,SN,95.18,scattered clouds,12.485,-16.5469,Auberge du Routard
185,Orocue,CO,93.0,few clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
191,Bocas Del Toro,PA,86.07,scattered clouds,9.3333,-82.25,Hotel Bocas del Toro
195,Cabedelo,BR,90.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
212,Maceio,BR,89.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
217,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
224,Rocha,UY,87.85,few clouds,-34.4833,-54.3333,Hotel Arrarte
235,Lethem,GY,88.63,light rain,3.3803,-59.7968,Savannah Inn
236,Olinda,BR,85.73,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
253,Berekum,GH,90.28,overcast clouds,7.4534,-2.584,Nyame Nnae Hotel
261,Karratha,AU,91.8,clear sky,-20.7377,116.8463,ibis Styles Karratha
267,Paragominas,BR,94.84,broken clouds,-2.9667,-47.4833,INOVA
296,Machiques,VE,90.63,overcast clouds,10.0644,-72.545,hotel el markes
306,Barinitas,VE,85.48,scattered clouds,8.7622,-70.4111,Rapsodia EcoTours
307,Ippy,CF,86.43,broken clouds,6.2679,21.2247,
328,Paredon,MX,90.63,clear sky,16.0333,-93.8667,Hotel Principal Paredon
329,Ler,SS,85.06,overcast clouds,8.3018,30.1418,
331,Kousseri,CM,94.96,overcast clouds,12.0769,15.0306,Le Pilotis
368,Lukulu,ZM,86.0,overcast clouds,-14.3707,23.242,Ruth Guest House
373,Ibadan,NG,89.35,broken clouds,7.3878,3.8964,Majerita Hotel And Suites
390,Ibateguara,BR,85.91,broken clouds,-8.9725,-35.9394,Auto Posto e Pousada TopLine
401,Yaan,NG,90.01,broken clouds,7.3833,8.5667,
419,Gayeri,BF,90.88,few clouds,12.6497,0.4931,
423,Contamana,PE,92.57,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
445,Careiro Da Varzea,BR,86.63,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
448,Baragua,CU,86.76,clear sky,21.6967,-78.6328,Hotel Itabo
453,Salta,AR,89.58,few clouds,-24.7859,-65.4117,Hotel Alejandro I
455,Mangaratiba,BR,97.66,light rain,-22.9597,-44.0406,Portobello Resort & Safari
459,Sao Joao Da Barra,BR,87.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
466,Nakambala,ZM,87.48,broken clouds,-15.8324,27.7799,Staff Area
470,Tucuman,AR,89.6,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
479,Itaituba,BR,87.96,scattered clouds,-4.2761,-55.9836,Hotel Campos
493,Manaus,BR,86.5,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
500,Prainha,BR,88.41,overcast clouds,-1.8,-53.48,Casa Rocha
504,Bouna,CI,95.13,broken clouds,9.2667,-3.0,Hôtel lababa
509,Lodwar,KE,86.02,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
516,Roebourne,AU,91.71,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
517,La Peca,PE,85.28,light rain,-5.6111,-78.435,Hospedaje San Miguelito
531,Mandera,KE,92.19,broken clouds,3.9366,41.867,Mwalimu Guest mandera
535,Coruripe,BR,85.69,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
541,Dire,ML,96.46,overcast clouds,12.2833,-10.9667,
559,Dosso,NE,86.31,overcast clouds,13.049,3.1937,Hotel Toubal
560,Almeirim,BR,90.28,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
584,Caucaia,BR,91.08,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
594,Gbarnga,LR,91.58,few clouds,6.9956,-9.4722,Passion Hotel 2
603,Tamandare,BR,85.19,clear sky,-8.7597,-35.1047,Pousada 100 Passos
609,Vila Velha,BR,87.94,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
613,Abapo,BO,91.13,overcast clouds,-18.8333,-63.4667,
615,Jatai,BR,86.45,overcast clouds,-17.8814,-51.7144,La Vitre Hotel
624,Inirida,CO,85.28,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
645,Carutapera,BR,89.15,scattered clouds,-1.195,-46.02,Lidera
667,Conde,BR,85.66,clear sky,-7.2597,-34.9075,Pousada Beija Flor
673,Garoua,CM,87.84,few clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
693,Sweetwater,US,86.02,scattered clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
705,Esperanza,DO,85.3,clear sky,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
710,Atar,MR,86.05,broken clouds,20.5169,-13.0499,Oumou Elghoura
718,Chiredzi,ZW,92.66,few clouds,-21.05,31.6667,Clevers Hotel Chiredzi
720,Tacuarembo,UY,94.06,scattered clouds,-31.7333,-55.9833,Complejo San Fructuoso
