City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Port Alfred,ZA,-33.5906,26.891,71.26,85,74,15.82,broken clouds
1,Pangnirtung,CA,66.1451,-65.7125,-4.36,75,89,5.53,overcast clouds
2,Ilulissat,GL,69.2167,-51.1,21.22,68,75,8.05,broken clouds
3,Grindavik,IS,63.8424,-22.4338,41.47,87,75,21.85,broken clouds
4,Sitka,US,57.0531,-135.33,35.49,69,90,17.27,moderate rain
5,Hobart,AU,-42.8794,147.3294,51.06,80,4,5.75,clear sky
6,Jamestown,US,42.097,-79.2353,39.72,69,20,11.01,few clouds
7,Saskylakh,RU,71.9167,114.0833,-45.11,100,73,3.27,broken clouds
8,Punta Arenas,CL,-53.15,-70.9167,51.12,50,72,26.22,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,77.11,74,54,5.44,broken clouds
10,Kavieng,PG,-2.5744,150.7967,81.97,80,100,3.56,light rain
11,Kapaa,US,22.0752,-159.319,75.52,79,75,4.0,broken clouds
12,Bethel,US,41.3712,-73.414,46.47,45,1,3.0,clear sky
13,Mataura,NZ,-46.1927,168.8643,45.48,99,79,1.83,broken clouds
14,Albany,US,42.6001,-73.9662,43.16,59,18,1.99,few clouds
15,Caravelas,BR,-17.7125,-39.2481,84.27,62,69,11.34,broken clouds
16,Huarmey,PE,-10.0681,-78.1522,73.11,73,23,11.23,few clouds
17,Coquimbo,CL,-29.9533,-71.3436,67.73,63,20,12.66,few clouds
18,Mulatupo,PA,8.9492,-77.7652,85.3,59,100,5.32,overcast clouds
19,Mahebourg,MU,-20.4081,57.7,79.09,65,75,11.5,broken clouds
20,Ayan,RU,56.45,138.1667,11.8,70,100,11.21,overcast clouds
21,Souillac,MU,-20.5167,57.5167,79.18,65,75,11.5,broken clouds
22,Severo-Kurilsk,RU,50.6789,156.125,32.58,96,100,12.5,light snow
23,New Norfolk,AU,-42.7826,147.0587,50.72,70,6,2.53,clear sky
24,Hilo,US,19.7297,-155.09,69.8,71,21,5.28,few clouds
25,Urumqi,CN,43.801,87.6005,5.95,78,77,2.24,broken clouds
26,Hamilton,US,39.1834,-84.5333,45.64,62,1,1.99,clear sky
27,Hithadhoo,MV,-0.6,73.0833,81.39,75,100,8.01,overcast clouds
28,Lavrentiya,RU,65.5833,-171.0,-12.69,84,2,4.79,clear sky
29,Katobu,ID,-4.9408,122.5276,76.96,92,82,3.33,broken clouds
30,Nurota,UZ,40.5614,65.6886,42.89,83,68,8.01,broken clouds
31,Chokurdakh,RU,70.6333,147.9167,-30.42,95,100,1.68,overcast clouds
32,Vostok,RU,46.4856,135.8833,4.42,95,100,9.37,light snow
33,Bredasdorp,ZA,-34.5322,20.0403,68.29,69,100,8.05,overcast clouds
34,Loandjili,CG,-4.7561,11.8578,82.51,78,40,8.05,scattered clouds
35,Busselton,AU,-33.65,115.3333,51.08,70,63,11.52,broken clouds
36,Fuling,CN,29.7022,107.3919,48.99,91,93,2.39,overcast clouds
37,Atuona,PF,-9.8,-139.0333,78.75,77,20,18.9,few clouds
38,Avarua,CK,-21.2078,-159.775,77.05,83,90,3.44,light rain
39,East London,ZA,-33.0153,27.9116,74.34,88,75,11.5,light rain
40,Tasiilaq,GL,65.6145,-37.6368,37.56,68,100,28.7,overcast clouds
41,Port Elizabeth,ZA,-33.918,25.5701,74.1,73,90,8.05,overcast clouds
42,Baracoa,CU,20.3467,-74.4958,80.87,74,61,11.16,broken clouds
43,Aswan,EG,24.0934,32.907,85.3,42,0,10.36,clear sky
44,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,90,16.11,light snow
45,Caldwell,US,43.6629,-116.6874,45.91,79,90,17.27,overcast clouds
46,Upernavik,GL,72.7868,-56.1549,3.31,93,100,9.55,overcast clouds
47,Kjollefjord,NO,70.9457,27.3465,30.25,93,75,12.66,light snow
48,Zhezkazgan,KZ,47.8043,67.7144,22.1,95,100,16.6,light snow
49,Bainbridge,US,47.6262,-122.5212,40.87,87,90,4.0,overcast clouds
50,Nikolskoye,RU,59.7035,30.7861,23.4,97,97,5.21,overcast clouds
51,Bambous Virieux,MU,-20.3428,57.7575,79.05,65,75,11.5,broken clouds
52,Constitucion,CL,-35.3333,-72.4167,63.07,56,6,17.38,clear sky
53,Lazaro Cardenas,MX,17.9583,-102.2,83.5,66,66,6.11,broken clouds
54,Chinsali,ZM,-10.5414,32.0816,76.05,44,73,7.45,broken clouds
55,Christchurch,NZ,-43.5333,172.6333,57.0,76,20,7.0,few clouds
56,Ponta Do Sol,PT,32.6667,-17.1,69.71,74,52,0.87,broken clouds
57,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,51,90,23.02,light rain
58,Kununurra,AU,-15.7667,128.7333,84.18,65,8,5.75,clear sky
59,Tshikapa,CD,-6.4167,20.8,73.26,96,100,3.96,light rain
60,Hofn,IS,64.2539,-15.2082,39.22,87,75,8.05,broken clouds
61,San Patricio,US,28.017,-97.5169,58.86,35,0,6.78,clear sky
62,Alofi,NU,-19.0595,-169.9187,67.89,94,6,0.0,clear sky
63,Clyde River,CA,70.4692,-68.5914,-17.66,97,21,3.96,few clouds
64,Cape Town,ZA,-33.9258,18.4232,71.1,63,20,1.99,few clouds
65,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,66,40,10.36,scattered clouds
66,Bluff,NZ,-46.6,168.3333,45.81,86,36,2.24,scattered clouds
67,Kirakira,SB,-10.4544,161.9205,81.27,85,100,13.33,overcast clouds
68,Dikson,RU,73.5069,80.5464,-20.76,95,43,10.8,scattered clouds
69,Saint George,US,37.1041,-113.5841,50.54,66,1,1.99,clear sky
70,Chuy,UY,-33.6971,-53.4616,81.73,47,1,9.26,clear sky
71,Tiksi,RU,71.6872,128.8694,-21.3,100,95,1.61,overcast clouds
72,Aykhal,RU,66.0,111.5,-46.59,100,100,5.99,overcast clouds
73,Hazorasp,UZ,41.3194,61.0742,35.44,60,98,8.79,overcast clouds
74,Valdivia,CL,-39.8142,-73.2459,57.29,57,77,8.97,broken clouds
75,Nanortalik,GL,60.1432,-45.2371,23.56,80,54,12.84,broken clouds
76,Vaini,TO,-21.2,-175.2,75.36,94,40,4.61,light rain
77,Salon,IN,26.0333,81.45,60.19,45,20,3.4,few clouds
78,Sharjah,AE,25.3573,55.4033,76.98,59,0,2.3,clear sky
79,Innisfail,AU,-17.5333,146.0333,78.71,84,77,3.18,broken clouds
80,Pevek,RU,69.7008,170.3133,-33.75,96,25,2.51,scattered clouds
81,Verkhnyaya Maksakovka,RU,61.635,50.9674,-0.38,92,0,6.71,clear sky
