City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Filipe,CV,2021-12-10 16:14:31,14.8961,-24.4956,75.49,67,27,8.79
1,Chipinge,ZW,2021-12-10 16:14:32,-20.1883,32.6236,81.9,27,22,7.81
2,Ushuaia,AR,2021-12-10 16:14:32,-54.8,-68.3,55.02,66,75,0.0
3,Guerrero Negro,MX,2021-12-10 16:14:32,27.9769,-114.0611,63.52,71,41,14.79
4,Victoria,HK,2021-12-10 16:13:16,22.2855,114.1577,70.32,79,67,11.01
5,Rikitea,PF,2021-12-10 16:14:33,-23.1203,-134.9692,76.06,73,100,17.6
6,Vaini,TO,2021-12-10 16:14:33,-21.2,-175.2,75.36,94,20,5.75
7,Zhigansk,RU,2021-12-10 16:14:33,66.7697,123.3711,-6.75,96,100,17.72
8,Provideniya,RU,2021-12-10 16:14:34,64.3833,-173.3,-8.23,91,25,10.8
9,Black Forest,US,2021-12-10 16:14:34,39.0131,-104.7008,31.23,78,62,5.01
10,Cidreira,BR,2021-12-10 16:14:34,-30.1811,-50.2056,71.02,54,18,8.79
11,Pacific Grove,US,2021-12-10 16:13:49,36.6177,-121.9166,47.97,87,1,1.99
12,Peruibe,BR,2021-12-10 16:14:35,-24.32,-46.9983,75.87,66,55,5.3
13,Touros,BR,2021-12-10 16:14:19,-5.1989,-35.4608,90.5,62,96,15.43
14,Rio Gallegos,AR,2021-12-10 16:11:30,-51.6226,-69.2181,64.45,36,75,10.36
15,Klaksvik,FO,2021-12-10 16:14:35,62.2266,-6.589,36.52,72,63,19.1
16,Hithadhoo,MV,2021-12-10 16:14:36,-0.6,73.0833,81.48,80,91,10.58
17,Norman Wells,CA,2021-12-10 16:14:36,65.282,-126.8329,-3.51,96,50,8.16
18,Ondarroa,ES,2021-12-10 16:14:36,43.3167,-2.4167,53.8,85,100,22.19
19,Atuona,PF,2021-12-10 16:14:37,-9.8,-139.0333,77.85,74,58,15.9
20,Lebu,CL,2021-12-10 16:10:21,-37.6167,-73.65,61.79,74,44,12.95
21,Stornoway,GB,2021-12-10 16:14:37,58.2093,-6.3865,35.56,93,20,4.61
22,Hilo,US,2021-12-10 16:14:37,19.7297,-155.09,71.4,83,20,5.75
23,Avarua,CK,2021-12-10 16:14:37,-21.2078,-159.775,73.45,94,20,2.3
24,Teguise,ES,2021-12-10 16:14:38,29.0605,-13.564,64.62,77,20,19.57
25,Oume,JP,2021-12-10 16:14:38,35.7839,139.2431,46.78,87,1,0.0
26,Puerto Ayora,EC,2021-12-10 16:14:39,-0.7393,-90.3518,70.56,92,91,5.99
27,Westport,US,2021-12-10 16:14:19,41.1415,-73.3579,51.75,74,90,1.01
28,Jamestown,US,2021-12-10 16:13:53,42.097,-79.2353,45.72,68,90,4.0
29,Mataura,NZ,2021-12-10 16:14:39,-46.1927,168.8643,46.67,98,100,0.89
30,Albany,US,2021-12-10 16:09:58,42.6001,-73.9662,40.8,69,99,5.48
31,Pangnirtung,CA,2021-12-10 16:14:40,66.1451,-65.7125,-8.99,88,88,5.08
32,Pisco,PE,2021-12-10 16:14:40,-13.7,-76.2167,71.02,73,75,6.91
33,Shelburne,CA,2021-12-10 16:14:40,44.0787,-80.2041,35.37,92,100,7.49
34,Tiksi,RU,2021-12-10 16:14:41,71.6872,128.8694,-3.98,93,100,10.98
35,Tuktoyaktuk,CA,2021-12-10 16:14:41,69.4541,-133.0374,-6.57,96,13,8.9
36,Parkes,AU,2021-12-10 16:14:41,-33.1333,148.1833,55.35,81,50,1.88
37,Bluff,NZ,2021-12-10 16:14:42,-46.6,168.3333,53.06,81,100,9.24
38,Assiniboia,CA,2021-12-10 16:14:42,49.6334,-105.9845,12.06,79,6,6.98
39,Asau,RO,2021-12-10 16:14:42,46.4333,26.4,40.28,83,100,3.02
40,Makakilo City,US,2021-12-10 16:14:43,21.3469,-158.0858,73.72,79,75,4.61
41,Bethel,US,2021-12-10 16:13:55,41.3712,-73.414,49.48,73,90,0.0
42,Kutum,SD,2021-12-10 16:14:43,14.2,24.6667,73.69,15,2,6.46
43,Punta Arenas,CL,2021-12-10 16:13:28,-53.15,-70.9167,60.91,36,0,9.22
44,Jardim,BR,2021-12-10 16:14:44,-21.4803,-56.1381,101.32,13,14,3.94
45,Kavaratti,IN,2021-12-10 16:15:44,10.5669,72.642,82.47,75,9,6.62
46,Arraial Do Cabo,BR,2021-12-10 16:11:03,-22.9661,-42.0278,78.66,65,40,8.05
47,Mayskiy,RU,2021-12-10 16:15:44,47.6931,40.1025,47.44,82,100,7.36
48,Upernavik,GL,2021-12-10 16:15:45,72.7868,-56.1549,0.16,87,98,6.35
49,Kodiak,US,2021-12-10 16:15:45,57.79,-152.4072,27.91,54,90,21.85
50,Yellowknife,CA,2021-12-10 16:15:46,62.456,-114.3525,-7.71,86,20,3.44
51,Natitingou,BJ,2021-12-10 16:15:46,10.3042,1.3796,93.25,11,96,5.41
52,San Patricio,US,2021-12-10 16:15:47,28.017,-97.5169,82.49,71,31,22.93
53,Metro,ID,2021-12-10 16:11:27,-5.1131,105.3067,73.94,98,100,5.73
54,Sao Luiz Gonzaga,BR,2021-12-10 16:15:47,-28.4083,-54.9608,93.02,23,0,2.17
55,Abha,SA,2021-12-10 16:13:22,18.2164,42.5053,61.05,9,0,9.22
56,Busselton,AU,2021-12-10 16:15:06,-33.65,115.3333,60.08,85,5,5.55
